locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
ENSMUSG00000000001,Gnai3,1,349,NE,Nonessential
ENSMUSG00000000028,Cdc45,1,349,E,Essential
ENSMUSG00000000031,,1,349,NE,Nonessential
ENSMUSG00000000037,Scml2,1,349,E,Essential
ENSMUSG00000000049,Apoh,1,349,E,Essential
ENSMUSG00000000058,Cav2,1,349,NE,Nonessential
ENSMUSG00000000078,Klf6,1,349,E,Essential
ENSMUSG00000000085,Scmh1,1,349,E,Essential
ENSMUSG00000000093,Tbx2,1,349,E,Essential
ENSMUSG00000000094,Tbx4,1,349,E,Essential
ENSMUSG00000000120,Ngfr,1,349,E,Essential
ENSMUSG00000000125,Wnt3,1,349,E,Essential
ENSMUSG00000000126,Wnt9a,1,349,E,Essential
ENSMUSG00000000127,Fer,1,349,NE,Nonessential
ENSMUSG00000000134,Tcfe3,1,349,NE,Nonessential
ENSMUSG00000000142,Axin2,1,349,E,Essential
ENSMUSG00000000149,Gna12,1,349,NE,Nonessential
ENSMUSG00000000159,Igsf5,1,349,NE,Nonessential
ENSMUSG00000000171,Sdhd,1,349,E,Essential
ENSMUSG00000000182,Fgf23,1,349,E,Essential
ENSMUSG00000000183,Fgf6,1,349,NE,Nonessential
ENSMUSG00000000184,Ccnd2,1,349,E,Essential
ENSMUSG00000000194,Gpr107,1,349,E,Essential
ENSMUSG00000000197,Nalcn,1,349,E,Essential
ENSMUSG00000000204,Slfn4,1,349,NE,Nonessential
ENSMUSG00000000214,Th,1,349,E,Essential
ENSMUSG00000000215,Ins2,1,349,E,Essential
ENSMUSG00000000216,Scnn1g,1,349,E,Essential
ENSMUSG00000000244,Tspan32,1,349,NE,Nonessential
ENSMUSG00000000247,Lhx2,1,349,E,Essential
ENSMUSG00000000263,Glra1,1,349,E,Essential
ENSMUSG00000000266,Mid2,1,349,NE,Nonessential
ENSMUSG00000000275,Trim25,1,349,NE,Nonessential
ENSMUSG00000000276,Dgke,1,349,NE,Nonessential
ENSMUSG00000000278,Scpep1,1,349,NE,Nonessential
ENSMUSG00000000282,Mnt,1,349,E,Essential
ENSMUSG00000000290,Itgb2,1,349,E,Essential
ENSMUSG00000000301,Pemt,1,349,NE,Nonessential
ENSMUSG00000000303,Cdh1,1,349,E,Essential
ENSMUSG00000000305,Cdh4,1,349,NE,Nonessential
ENSMUSG00000000308,Ckmt1,1,349,NE,Nonessential
ENSMUSG00000000317,Bcl6b,1,349,NE,Nonessential
ENSMUSG00000000318,Clec10a,1,349,NE,Nonessential
ENSMUSG00000000320,Alox12,1,349,NE,Nonessential
ENSMUSG00000000325,Arvcf,1,349,NE,Nonessential
ENSMUSG00000000326,Comt1,1,349,NE,Nonessential
ENSMUSG00000000340,Dbt,1,349,E,Essential
ENSMUSG00000000346,Dazap2,1,349,NE,Nonessential
ENSMUSG00000000365,Rnf17,1,349,E,Essential
ENSMUSG00000000378,Ccm2,1,349,E,Essential
ENSMUSG00000000381,Wap,1,349,NE,Nonessential
ENSMUSG00000000385,Tmprss2,1,349,NE,Nonessential
ENSMUSG00000000386,Mx1,1,349,NE,Nonessential
ENSMUSG00000000392,Fap,1,349,NE,Nonessential
ENSMUSG00000000394,Gcg,1,349,E,Essential
ENSMUSG00000000402,Egfl6,1,349,NE,Nonessential
ENSMUSG00000000409,Lck,1,349,NE,Nonessential
ENSMUSG00000000420,Galnt1,1,349,E,Essential
ENSMUSG00000000435,Myf5,1,349,E,Essential
ENSMUSG00000000440,Pparg,1,349,E,Essential
ENSMUSG00000000441,Raf1,1,349,E,Essential
ENSMUSG00000000489,Pdgfb,1,349,E,Essential
ENSMUSG00000000530,Acvrl1,1,349,E,Essential
ENSMUSG00000000531,Grasp,1,349,NE,Nonessential
ENSMUSG00000000532,Acvr1b,1,349,E,Essential
ENSMUSG00000000538,Tom1l2,1,349,NE,Nonessential
ENSMUSG00000000552,Zfp385a,1,349,E,Essential
ENSMUSG00000000555,Itga5,1,349,E,Essential
ENSMUSG00000000560,Gabra2,1,349,E,Essential
ENSMUSG00000000561,Wdr77,1,349,E,Essential
ENSMUSG00000000562,Adora3,1,349,NE,Nonessential
ENSMUSG00000000563,Atp5f1,1,349,E,Essential
ENSMUSG00000000567,Sox9,1,349,E,Essential
ENSMUSG00000000568,Hnrnpd,1,349,NE,Nonessential
ENSMUSG00000000594,Gm2a,1,349,NE,Nonessential
ENSMUSG00000000600,Krit1,1,349,E,Essential
ENSMUSG00000000617,Grm6,1,349,NE,Nonessential
ENSMUSG00000000628,Hk2,1,349,E,Essential
