EndNodes_1,EndNodes_2,Weight
0610007C21Rik,Cdv3,-1
0610007C21Rik,Csnk1e,-1
0610007C21Rik,Dctn4,-1
0610007C21Rik,Hnrnpf,-1
0610007C21Rik,Hnrnpu,-1
0610007C21Rik,Ppp2r5c,-1
0610007N19Rik,Camk1d,1
0610007N19Rik,Cebpd,1
0610007N19Rik,Ctsz,1
0610007N19Rik,Gata5,1
0610007N19Rik,Gli2,1
0610007N19Rik,Htra1,1
0610007N19Rik,Lgals9,1
0610007N19Rik,Mustn1,1
0610007N19Rik,Nfic,1
0610007N19Rik,Nupr1,1
0610007N19Rik,Olfm1,1
0610007N19Rik,Pabpc1,-1
0610007N19Rik,Pbx3,1
0610007N19Rik,Pias4,-1
0610007N19Rik,Pitx1,1
0610007N19Rik,Pnp,1
0610007N19Rik,Prdm5,1
0610007N19Rik,Serpinf1,1
0610007N19Rik,Serping1,1
0610007N19Rik,Sfrp2,1
0610007N19Rik,Smarca1,1
0610007N19Rik,Srpk1,-1
0610007P08Rik,Tgfbr3,1
0610007P22Rik,Phtf1,-1
0610007P22Rik,Taf10,1
0610007P22Rik,Tsfm,1
0610009B22Rik,Churc1,1
0610009B22Rik,Gm4636,1
0610009D07Rik,Cntn1,-1
0610009D07Rik,Coq7,1
0610009D07Rik,Dab2,-1
0610009D07Rik,Eng,-1
0610009D07Rik,Exosc5,1
0610009D07Rik,Gbp4,-1
0610009D07Rik,Lsm6,1
0610009D07Rik,Ncor2,-1
0610009D07Rik,Pkd2,-1
0610009D07Rik,Prdm6,-1
0610009D07Rik,Ssu72,1
0610009D07Rik,Tbx20,-1
0610009D07Rik,Trerf1,-1
0610009D07Rik,Tshz3,-1
0610009D07Rik,Tyms,1
0610009D07Rik,Vipar,1
0610009D07Rik,Zbtb20,-1
0610009D07Rik,Zfp536,-1
0610009L18Rik,Phtf1,-1
0610009O20Rik,Psma6,-1
0610009O20Rik,Psmc5,-1
0610010O12Rik,Atp1b1,1
0610010O12Rik,Bmp4,-1
0610010O12Rik,C1qtnf1,-1
0610010O12Rik,Ddr2,-1
0610010O12Rik,Epcam,1
0610010O12Rik,Esrp2,1
0610010O12Rik,Foxa1,1
0610010O12Rik,Fzd6,1
0610010O12Rik,Hnf1b,1
0610010O12Rik,Irf6,1
0610010O12Rik,Klf5,1
0610010O12Rik,Ldlr,1
0610010O12Rik,Mbnl3,1
0610010O12Rik,Mir205,1
0610010O12Rik,Mst1,1
0610010O12Rik,Nfic,-1
0610010O12Rik,Nol3,-1
0610010O12Rik,Padi4,1
0610010O12Rik,Plcg2,1
0610010O12Rik,Ppp1r13l,1
0610010O12Rik,Prrx2,-1
0610010O12Rik,Ptgis,-1
0610010O12Rik,Ripk4,1
0610010O12Rik,Shh,1
0610010O12Rik,Tead2,-1
0610010O12Rik,Tnfrsf1b,-1
0610010O12Rik,Tox2,1
0610010O12Rik,Trim29,1
0610010O12Rik,Trpv4,1
0610010O12Rik,Wnt2,-1
