EndNodes_1,EndNodes_2,Weight
0610012G03Rik,Ncoa1,1
0610037P05Rik,Zfp932,1
0610038B21Rik,Phtf2,1
0610039K10Rik,Mir23a,1
1110004E09Rik,Mapk8,1
1110004F10Rik,1810035L17Rik,1
1110008P14Rik,Mzf1,1
1110012J17Rik,Adarb1,1
1110012J17Rik,Inha,1
1110012J17Rik,Myt1l,1
1110012J17Rik,Pim2,1
1110014N23Rik,Rbbp5,1
1110018J18Rik,Hipk3,1
1110018J18Rik,Ikbkb,1
1110034A24Rik,Pspc1,1
1110049F12Rik,Cdk5,1
1110049F12Rik,Itch,1
1110049F12Rik,Larp6,1
1110049F12Rik,Mtf1,1
1110049F12Rik,Npat,1
1110049F12Rik,Wbp2,1
1110049F12Rik,Zfp281,1
1110049F12Rik,Zfp706,1
1110050K14Rik,Sp110,1
1110057K04Rik,Cdk5,1
1110057K04Rik,Cpeb1,1
1110057K04Rik,Cpeb2,1
1110057K04Rik,Ddx1,1
1110057K04Rik,Npat,1
1110057K04Rik,Psen1,1
1110057K04Rik,Vps35,1
1110057K04Rik,Zfp281,1
1110057K04Rik,Zfp706,1
1110058L19Rik,Zfp930,1
1190002N15Rik,Gtf2a1,1
1190002N15Rik,Mir338,1
1190002N15Rik,Zfp536,1
1190005F20Rik,Gon4l,1
1190005F20Rik,Megf8,1
1190005I06Rik,Fgfr2,1
1190007F08Rik,Aspa,1
1190007F08Rik,Cryab,1
1190007F08Rik,Nkx6-2,1
1300014I06Rik,Afap1l2,1
1300014I06Rik,Ptpn14,1
1500002O20Rik,4930430F08Rik,1
1500002O20Rik,AU040320,1
1500002O20Rik,Agpat6,1
1500002O20Rik,Agps,1
1500002O20Rik,Copg2,1
1500002O20Rik,Deaf1,1
1500002O20Rik,Eif2ak1,1
1500002O20Rik,Fntb,1
1500002O20Rik,Mon1b,1
1500002O20Rik,Nr2c2ap,1
1500002O20Rik,Pno1,1
1500002O20Rik,Tada1,1
1500002O20Rik,Thop1,1
1500002O20Rik,Usp5,1
1500002O20Rik,Vps52,1
1500002O20Rik,Vps8,1
1500004A13Rik,Apbb1,1
1500004A13Rik,Auh,1
1500004A13Rik,Cdk5,1
1500004A13Rik,Cpeb2,1
1500004A13Rik,Dusp26,1
1500004A13Rik,Eid1,1
1500004A13Rik,Larp6,1
1500004A13Rik,Pak1,1
1500004A13Rik,Ppp2r5b,1
1500004A13Rik,Prkcz,1
1500004A13Rik,Zfp706,1
1500009C09Rik,Apba2,1
1500009C09Rik,Tagln3,1
1500009L16Rik,Rbms3,1
1500011H22Rik,A430033K04Rik,1
1500011H22Rik,Bbs4,1
1500011H22Rik,Btrc,1
1500011H22Rik,Crtc1,1
1500011H22Rik,Hist3h2a,1
1500011H22Rik,Ikbkap,1
1500011H22Rik,Ogfod1,1
1500011H22Rik,Ppp3cb,1
1500011H22Rik,Srpk2,1
1500011H22Rik,Stx1b,1
1500011H22Rik,Zfp938,1
1500015L24Rik,Carhsp1,1
1500015L24Rik,Cntn2,1
1500015L24Rik,Ngfr,1
1500015L24Rik,Nkx6-2,1
1500015L24Rik,Plp1,1
1500015L24Rik,Prox1,1
1500015L24Rik,Rcbtb1,1
1500015L24Rik,Sall4,1
1500015L24Rik,Secisbp2l,1
1500015L24Rik,St18,1
1500015L24Rik,Trf,1
1500015L24Rik,Trim13,1
1500031L02Rik,Bbs4,1
1500031L02Rik,Fbxl15,1
1500031L02Rik,Pim2,1
1500031L02Rik,Ppp3cb,1
1500031L02Rik,Rgs2,1
1500031L02Rik,Wasl,1
1700001C19Rik,Foxl2,1
1700001C19Rik,Icam1,1
1700001C19Rik,Nos2,1
1700001C19Rik,Trim16,1
1700006F04Rik,Mir539,1
1700006F04Rik,Oprd1,1
1700007F19Rik,Lin28b,1
1700007F19Rik,Mir370,1
1700007F19Rik,Trim66,1
1700008O03Rik,Atoh7,1
1700008O03Rik,Bend6,1
1700008O03Rik,Mir124a-3,1
1700008O03Rik,Sgsm1,1
1700008O03Rik,Stx1b,1
1700008O03Rik,Zkscan16,1
1700018A04Rik,Bcl6b,1
1700018A04Rik,Dll4,1
1700018A04Rik,Edn1,1
1700018A04Rik,Edn3,1
1700018A04Rik,Elk3,1
1700018A04Rik,Fn1,1
1700018A04Rik,Foxf1a,1
1700018A04Rik,Foxl2,1
1700018A04Rik,Foxq1,1
1700018A04Rik,Hic1,1
1700018A04Rik,Lef1,1
1700018A04Rik,Maff,1
1700018A04Rik,Mknk2,1
1700018A04Rik,Nostrin,1
1700018A04Rik,Notch4,1
1700018A04Rik,Prkd2,1
1700018A04Rik,Tal1,1
1700018A04Rik,Tbx1,1
1700018A04Rik,Tcf15,1
1700018A04Rik,Tcf7,1
1700020I14Rik,Cited2,1
1700020I14Rik,Nfe2l1,1
1700020I14Rik,Rbfox2,1
1700020I14Rik,Trak2,1
1700020L24Rik,Btbd8,1
1700020L24Rik,Mir338,1
1700024B18Rik,Adcyap1,1
1700024B18Rik,Atoh7,1
1700024B18Rik,Bdnf,1
1700024B18Rik,Bend6,1
1700024B18Rik,Esrrg,1
1700024B18Rik,Fgf9,1
1700024B18Rik,Grin1,1
1700024B18Rik,Mir124a-3,1
1700024B18Rik,Neurod6,1
1700024B18Rik,Prdm8,1
1700024B18Rik,Ripply2,1
1700024B18Rik,Scrt1,1
1700024B18Rik,Six4,1
1700024B18Rik,Zfp941,1
1700024B18Rik,Zkscan16,1
1700026J04Rik,Pir,1
1700037H04Rik,Smarcal1,1
1700037H04Rik,Tcf20,1
1700040N02Rik,Prkcq,1
1700040N02Rik,Sox10,1
1700040N02Rik,Zfp488,1
1700047M11Rik,Cln3,1
1700047M11Rik,Erbb3,1
1700047M11Rik,Gm98,1
1700047M11Rik,Il1rap,1
1700047M11Rik,Mir219-2,1
1700047M11Rik,Pcbp4,1
1700047M11Rik,Plp1,1
1700047M11Rik,Sema4d,1
1700047M11Rik,Sirt2,1
1700047M11Rik,Spg20,1
1700052K11Rik,Rbbp7,1
1700052K11Rik,Taf6,1
1700052N19Rik,2700050L05Rik,1
1700054N08Rik,Map3k13,1
1700054N08Rik,Ube2o,1
1700063D05Rik,Abca2,1
1700063D05Rik,Aspa,1
1700063D05Rik,Cntn2,1
1700063D05Rik,Dip2a,1
1700063D05Rik,Gm98,1
1700063D05Rik,Kif1b,1
1700063D05Rik,Nbas,1
1700063D05Rik,Nfe2l3,1
1700063D05Rik,Nkx6-2,1
1700063D05Rik,Plp1,1
1700063D05Rik,Rhog,1
1700063D05Rik,Sall4,1
1700063D05Rik,Secisbp2l,1
1700063D05Rik,Sema4d,1
1700063D05Rik,Spg20,1
1700063D05Rik,St18,1
1700063D05Rik,Trf,1
1700063D05Rik,Trim13,1
1700066M21Rik,Cln3,1
1700066M21Rik,Pxmp3,1
1700066M21Rik,Sox8,1
1700071M16Rik,B230209K01Rik,1
1700071M16Rik,Nat8,1
1700080N15Rik,Zfp385a,1
1700081L11Rik,Hnrnph1,1
1700081L11Rik,Zfp292,1
1700084C01Rik,Agt,1
1700084C01Rik,B230209K01Rik,1
1700084C01Rik,Bmpr1b,1
1700084C01Rik,Gdf10,1
1700084C01Rik,Nat8,1
1700086L19Rik,Agap2,1
1700086L19Rik,Vstm2a,1
1810009A15Rik,Riok1,1
1810009A15Rik,Srrt,1
1810011O10Rik,3830403N18Rik,1
1810011O10Rik,9530026P05Rik,1
1810011O10Rik,A130040M12Rik,1
1810011O10Rik,A4galt,1
1810011O10Rik,Abi3,1
1810011O10Rik,Ahnak,1
1810011O10Rik,Akap12,1
1810011O10Rik,Akr1c14,1
1810011O10Rik,Anxa2,1
1810011O10Rik,Anxa3,1
1810011O10Rik,Apold1,1
1810011O10Rik,Arhgap29,1
1810011O10Rik,Arhgef5,1
1810011O10Rik,Atf3,1
1810011O10Rik,Atp10d,1
1810011O10Rik,B4galt1,1
1810011O10Rik,Bcam,1
1810011O10Rik,Btg2,1
1810011O10Rik,Capg,1
1810011O10Rik,Cast,1
1810011O10Rik,Cd93,1
1810011O10Rik,Cfh,1
1810011O10Rik,Clec2d,1
1810011O10Rik,Col4a1,1
1810011O10Rik,Col4a2,1
1810011O10Rik,Crtap,1
1810011O10Rik,Csrp2,1
1810011O10Rik,Ctgf,1
1810011O10Rik,Cyb5r3,1
1810011O10Rik,D14Ertd668e,1
1810011O10Rik,Dysf,1
1810011O10Rik,Ebf1,1
1810011O10Rik,Ecm1,1
1810011O10Rik,Ecscr,1
1810011O10Rik,Ehd2,1
1810011O10Rik,Endou,1
1810011O10Rik,Eng,1
1810011O10Rik,Esam,1
1810011O10Rik,Ets1,1
1810011O10Rik,Fam176b,1
1810011O10Rik,Fam38a,1
1810011O10Rik,Fas,1
1810011O10Rik,Fmnl3,1
1810011O10Rik,Foxc1,1
1810011O10Rik,Foxf1a,1
1810011O10Rik,Foxf2,1
1810011O10Rik,Fxyd5,1
1810011O10Rik,Galntl2,1
1810011O10Rik,Gbp2,1
1810011O10Rik,Ggta1,1
1810011O10Rik,Gngt2,1
1810011O10Rik,Gsdmd,1
1810011O10Rik,Gstm2,1
1810011O10Rik,Hlx,1
1810011O10Rik,Hrct1,1
1810011O10Rik,Hspb1,1
1810011O10Rik,Ier3,1
1810011O10Rik,Ifitm2,1
1810011O10Rik,Ifitm3,1
1810011O10Rik,Igfbp7,1
1810011O10Rik,Il13ra1,1
1810011O10Rik,Il6ra,1
1810011O10Rik,Iqgap1,1
1810011O10Rik,Irf1,1
1810011O10Rik,Isyna1,1
1810011O10Rik,Kctd10,1
1810011O10Rik,Klf2,1
