EndNodes_1,EndNodes_2,Weight
0610007C21Rik,9130011J15Rik,1
0610007C21Rik,Btd,1
0610007C21Rik,Cnpy2,1
0610007C21Rik,Cnpy3,1
0610007C21Rik,Creld2,1
0610007C21Rik,Ddost,1
0610007C21Rik,Dnajc3,1
0610007C21Rik,Fam195b,1
0610007C21Rik,Fundc2,1
0610007C21Rik,Gstt1,1
0610007C21Rik,Hcfc1r1,1
0610007C21Rik,Krtcap2,1
0610007C21Rik,Map1lc3a,1
0610007C21Rik,Mcfd2,1
0610007C21Rik,Mesdc2,1
0610007C21Rik,Mfsd10,1
0610007C21Rik,Mpv17,1
0610007C21Rik,Naprt1,1
0610007C21Rik,Pdia3,1
0610007C21Rik,Ppib,1
0610007C21Rik,Ppt1,1
0610007C21Rik,Ssr2,1
0610007C21Rik,Tbrg1,1
0610007C21Rik,Tceal8,1
0610007C21Rik,Tm2d2,1
0610007C21Rik,Tspan31,1
0610007C21Rik,Txndc15,1
0610007C21Rik,Ufc1,1
0610007L01Rik,2500003M10Rik,1
0610007L01Rik,Deaf1,1
0610007L01Rik,Hdac3,1
0610007L01Rik,Mtdh,1
0610007L01Rik,Papola,1
0610007L01Rik,Pkn2,1
0610007L01Rik,Prkag1,1
0610007L01Rik,Rbm10,1
0610007L01Rik,Rbmxl1,1
0610007L01Rik,Sin3b,1
0610007L01Rik,Tmf1,1
0610007L01Rik,Vps25,1
0610007L01Rik,Zkscan3,1
0610007N19Rik,Cys1,1
0610007N19Rik,E130311K13Rik,1
0610007N19Rik,Irak1bp1,1
0610007N19Rik,Nap1l1,1
0610007N19Rik,Pdgfra,1
0610007N19Rik,Prrx2,1
0610007N19Rik,Rbms3,1
0610007N19Rik,Ssbp2,1
0610007N19Rik,Tceal8,1
0610007N19Rik,Twist2,1
0610007N19Rik,Zfp354c,1
0610007P08Rik,Glg1,1
0610009B22Rik,Bcap29,1
0610009B22Rik,Prdx3,1
0610009B22Rik,Rqcd1,1
0610031J06Rik,0610037P05Rik,1
0610031J06Rik,1700123O20Rik,1
0610031J06Rik,Atp5f1,1
0610031J06Rik,Cdc37,1
0610031J06Rik,Commd6,1
0610031J06Rik,Eif3m,1
0610031J06Rik,Fam96a,1
0610031J06Rik,Kars,1
0610031J06Rik,Napa,1
0610031J06Rik,Polr2c,1
0610031J06Rik,Polr2j,1
0610031J06Rik,Ppih,1
0610031J06Rik,Psmc3,1
0610031J06Rik,Rac2,-1
0610031J06Rik,Stoml2,1
0610031J06Rik,Tmco1,1
0610031J06Rik,Tmed9,1
0610031J06Rik,Tmem223,1
0610031J06Rik,Trim11,1
0610031J06Rik,Txndc12,1
0610031J06Rik,Ube2g1,1
0610031J06Rik,Ube2l3,1
0610037P05Rik,Tceb1,1
0610038B21Rik,Atf5,1
0610038B21Rik,Cdon,1
0610038B21Rik,Fam129a,1
0610038B21Rik,Gli3,1
0610038B21Rik,Gm14403,1
0610038B21Rik,Irak1,1
0610038B21Rik,Irak1bp1,1
0610038B21Rik,Pkd2,1
0610038B21Rik,Zfp354c,1
100043387,Cbx6,1
100043387,Ilf2,1
100043387,Mcts1,1
100043387,Ppp2r5d,1
100043387,Ptov1,1
100043387,Tceal8,1
1110004F10Rik,Cdk4,1
1110004F10Rik,Gtf2h5,1
1110004F10Rik,Kdm5c,1
1110004F10Rik,Lsm7,1
1110004F10Rik,Psmc6,1
1110004F10Rik,Rqcd1,1
1110004F10Rik,Smarcb1,1
1110004F10Rik,Supt16h,1
1110004F10Rik,Ube2i,1
1110008F13Rik,Dapk3,1
1110012L19Rik,Fzd2,1
1110012L19Rik,Glis2,1
1110012L19Rik,Ift74,1
1110012L19Rik,Psip1,1
1110012L19Rik,Rprd1a,1
1110012L19Rik,Smo,1
1110021L09Rik,Fam120b,1
1110034A24Rik,Map3k2,1
1110034A24Rik,Nrbf2,1
1110034A24Rik,Rpap2,1
1110034A24Rik,Tfdp1,1
1110037F02Rik,Foxj2,1
1110037F02Rik,Sf3a1,1
1110051M20Rik,Cks1b,1
1110051M20Rik,Mapk9,1
1110051M20Rik,Mkks,1
1110051M20Rik,Nap1l1,1
1110051M20Rik,Prdx5,1
1110051M20Rik,Tceal8,1
1110051M20Rik,Wdr77,1
1110057K04Rik,Sra1,1
1110058L19Rik,1810035L17Rik,1
1110058L19Rik,Cask,1
1110058L19Rik,Cdk4,1
1110058L19Rik,Fam58b,1
1110058L19Rik,Igbp1,1
1110058L19Rik,Lsm7,1
1110058L19Rik,Rpl26,1
1110058L19Rik,Rqcd1,1
1110058L19Rik,Usp22,1
1110065P20Rik,Aff4,1
1110065P20Rik,C1qbp,1
1110065P20Rik,Mga,1
1110065P20Rik,Prpf19,1
1190002H23Rik,Aqp7,1
1190002H23Rik,Fabp5,1
1190002H23Rik,Ptp4a3,1
1190002H23Rik,Robo3,1
1190002H23Rik,Vwa3a,1
1190007F08Rik,Ahcyl1,1
1190007F08Rik,Akt2,1
1190007F08Rik,Arhgef10l,1
1190007F08Rik,Asph,1
1190007F08Rik,Atf5,1
1190007F08Rik,Bmpr1a,1
1190007F08Rik,Bnc2,1
1190007F08Rik,Ccpg1,1
1190007F08Rik,Cdk5rap3,1
1190007F08Rik,Fgfr1,1
1190007F08Rik,Gfpt1,1
1190007F08Rik,Gli3,1
1190007F08Rik,Hoxc8,1
1190007F08Rik,Irs1,1
1190007F08Rik,Mapk9,1
1190007F08Rik,Megf8,1
1190007F08Rik,Ncoa1,1
1190007F08Rik,Pik3r2,1
1190007F08Rik,Prkca,1
1190007F08Rik,Pygo1,1
1190007F08Rik,Rhoq,1
1190007F08Rik,Smo,1
1190007F08Rik,Src,1
1190007F08Rik,Vldlr,1
1190007F08Rik,Wdr35,1
1190007F08Rik,Zfp385a,1
1190007F08Rik,Zhx2,1
1200014J11Rik,2500003M10Rik,1
1200014J11Rik,Bzw1,1
1200014J11Rik,Rc3h1,1
1200014J11Rik,Tsfm,1
1200014J11Rik,Ubr5,1
1200016B10Rik,Angel2,1
1200016B10Rik,Mterfd1,1
1200016B10Rik,Myst1,1
1200016B10Rik,Psmc2,1
1200016B10Rik,Sin3b,1
1200016B10Rik,Slc35a4,1
1200016B10Rik,Thap7,1
1300018J18Rik,Ddx1,1
1300018J18Rik,Grlf1,1
1300018J18Rik,Ilf2,1
1300018J18Rik,Prmt5,1
1300018J18Rik,Smarcd2,1
1300018J18Rik,Zfx,1
1500003O03Rik,6030419C18Rik,1
1500003O03Rik,A230046K03Rik,1
1500003O03Rik,Acat1,1
1500003O03Rik,Adk,1
1500003O03Rik,Adprh,1
1500003O03Rik,Aimp2,1
1500003O03Rik,Akr1e1,1
1500003O03Rik,Als2cr4,1
1500003O03Rik,Anxa4,1
1500003O03Rik,Arl1,1
1500003O03Rik,Asah1,1
1500003O03Rik,Atrnl1,1
1500003O03Rik,Blvrb,1
1500003O03Rik,Calhm2,1
1500003O03Rik,Cant1,1
1500003O03Rik,Casp12,1
1500003O03Rik,Cct8,1
1500003O03Rik,Cdk16,1
1500003O03Rik,Clptm1l,1
1500003O03Rik,D16H22S680E,1
1500003O03Rik,D19Ertd386e,1
1500003O03Rik,Dap3,1
1500003O03Rik,Dcaf12,1
1500003O03Rik,Dhrs1,1
1500003O03Rik,Diablo,1
1500003O03Rik,Dlg4,1
1500003O03Rik,Dnm1,1
1500003O03Rik,Dolpp1,1
1500003O03Rik,Edem1,1
1500003O03Rik,Efemp2,1
1500003O03Rik,Efr3a,1
1500003O03Rik,Ergic1,1
1500003O03Rik,Erp44,1
1500003O03Rik,Esd,1
1500003O03Rik,Exoc3,1
1500003O03Rik,Farp1,1
1500003O03Rik,Fbxo4,1
1500003O03Rik,Fundc1,1
1500003O03Rik,Galt,1
1500003O03Rik,Ganab,1
1500003O03Rik,Gnal,1
1500003O03Rik,Gorasp2,1
1500003O03Rik,Hars,1
1500003O03Rik,Htra2,1
1500003O03Rik,Il17rc,1
1500003O03Rik,Itgav,1
1500003O03Rik,Kifap3,1
1500003O03Rik,Klhdc2,1
1500003O03Rik,Klhl13,1
1500003O03Rik,Lpp,1
1500003O03Rik,Lztfl1,1
1500003O03Rik,Lztr1,1
1500003O03Rik,Magt1,1
1500003O03Rik,Map3k2,1
1500003O03Rik,Mapk9,1
1500003O03Rik,Mfsd7a,1
1500003O03Rik,Mia3,1
1500003O03Rik,Morf4l2,1
1500003O03Rik,Nagk,1
1500003O03Rik,Ncln,1
1500003O03Rik,Ndrg4,1
1500003O03Rik,Nucb1,1
1500003O03Rik,Orai3,1
1500003O03Rik,Ostc,1
1500003O03Rik,Pafah1b2,1
1500003O03Rik,Pgd,1
1500003O03Rik,Pnpla8,1
1500003O03Rik,Ppp1r14b,1
1500003O03Rik,Pppde1,1
1500003O03Rik,Pvrl3,1
1500003O03Rik,Rhbdf1,1
1500003O03Rik,Rhou,1
1500003O03Rik,Rnf13,1
1500003O03Rik,Rnh1,1
1500003O03Rik,Sdccag8,1
1500003O03Rik,Sec23ip,1
1500003O03Rik,Sepn1,1
1500003O03Rik,Sfr1,1
1500003O03Rik,Sh3d19,1
1500003O03Rik,Sh3gl1,1
1500003O03Rik,Sigmar1,1
1500003O03Rik,Sntb2,1
1500003O03Rik,Snx12,1
1500003O03Rik,Snx21,1
1500003O03Rik,Snx33,1
1500003O03Rik,Snx4,1
1500003O03Rik,Snx7,1
1500003O03Rik,Srxn1,1
1500003O03Rik,Stam,1
1500003O03Rik,Tbc1d10a,1
1500003O03Rik,Tdp1,1
1500003O03Rik,Tex264,1
1500003O03Rik,Tfg,1
1500003O03Rik,Tmem120a,1
1500003O03Rik,Tmem43,1
1500003O03Rik,Tmem63a,1
1500003O03Rik,Tpp1,1
1500003O03Rik,Trip10,1
1500003O03Rik,Txndc5,1
1500003O03Rik,Ube2e2,1
