EndNodes_1,EndNodes_2,Weight
0610007N19Rik,Rbms3,1
1110001J03Rik,1110002N22Rik,1
1110001J03Rik,Pkia,1
1110001J03Rik,Prdx5,1
1110002N22Rik,Ap4s1,1
1110002N22Rik,Hadh,1
1110002N22Rik,Pdk2,1
1110019D14Rik,Stau2,1
1110054M08Rik,1810020D17Rik,1
1110054M08Rik,Fastk,1
1110054M08Rik,Lpin1,1
1110054M08Rik,Narfl,1
1110054M08Rik,Prdx3,1
1190002H23Rik,Ramp3,1
1300001I01Rik,Coq7,1
1300001I01Rik,Lrpprc,1
1300001I01Rik,Ppara,1
1300010F03Rik,Inppl1,1
1300010F03Rik,Lrpprc,1
1300010F03Rik,Sod2,1
1500009L16Rik,Aff3,1
1500009L16Rik,Ar,1
1500009L16Rik,Egfr,1
1500009L16Rik,Gli2,1
1500009L16Rik,Sec16b,1
1500009L16Rik,Twist2,1
1500009L16Rik,Zfp354c,1
1600012F09Rik,Cul3,1
1600012F09Rik,Supv3l1,1
1600014C10Rik,Usp15,1
1700003F17Rik,Cdh13,1
1700019D03Rik,Aff3,1
1700019D03Rik,Sh3pxd2b,1
1700034H14Rik,Flcn,1
1700073E17Rik,Acacb,1
1700073E17Rik,Grhl2,1
1700120C14Rik,Trp53inp2,1
1810011O10Rik,Fabp4,1
1810011O10Rik,Il2rg,1
1810011O10Rik,Kitl,1
1810011O10Rik,Trp53i11,1
1810014B01Rik,2410022L05Rik,1
1810014B01Rik,Uqcc,1
1810014F10Rik,Fastk,1
1810014F10Rik,Mkks,1
1810014F10Rik,Ndufa13,1
1810014F10Rik,Prdx3,1
1810014F10Rik,Vegfb,1
1810020D17Rik,Acot13,1
1810020D17Rik,Apbb1,1
1810020D17Rik,Bcs1l,1
1810020D17Rik,Dut,1
1810020D17Rik,Echdc1,1
1810020D17Rik,Endog,1
1810020D17Rik,Hmbs,1
1810020D17Rik,Mff,1
1810020D17Rik,Mrpl1,1
1810020D17Rik,Mrpl16,1
1810020D17Rik,Mtx2,1
1810020D17Rik,Ndufaf1,1
1810020D17Rik,Nfs1,1
1810020D17Rik,Nt5m,1
1810020D17Rik,Prdx2,1
1810020D17Rik,Prdx3,1
1810020D17Rik,Pstk,1
1810020D17Rik,Slc25a11,1
1810049H13Rik,Apbb1,1
1810049H13Rik,Phtf2,1
1810049H13Rik,Uxt,1
2010107E04Rik,Chchd3,1
2010107E04Rik,Mrpl12,1
2010107E04Rik,Ndufa13,1
2010107E04Rik,Pdcd5,1
2010107H07Rik,Stau2,1
2210015D19Rik,Habp4,1
2210016F16Rik,Kank2,1
2300009A05Rik,Ascc1,1
2300009A05Rik,Camta1,1
2310002L09Rik,Six4,1
2310003L22Rik,Auh,1
2310003L22Rik,Fxr1,1
2310003L22Rik,Mrpl12,1
2310003L22Rik,Pcgf5,1
2310003L22Rik,Supv3l1,1
2310010M20Rik,Bmp10,1
2310014F07Rik,Erbb4,1
2310014F07Rik,Nr0b2,1
2310016M24Rik,Prdx2,1
2310016M24Rik,Prdx3,1
2310022A10Rik,Chd6,1
2310022A10Rik,Fastk,1
2310022A10Rik,Lrpprc,1
2310022A10Rik,Mkks,1
2310030N02Rik,Stau2,1
2310030N02Rik,Vegfb,1
2310040G24Rik,Myh6,1
2310040G24Rik,Slc38a3,1
2310046A06Rik,Actn2,1
2310046A06Rik,Art1,1
2310046A06Rik,Bmp10,1
2310046A06Rik,C130080G10Rik,1
2310046A06Rik,Csrp3,1
2310046A06Rik,Doc2g,1
2310046A06Rik,Gchfr,1
2310046A06Rik,Gm1078,1
2310046A06Rik,Hfe2,1
2310046A06Rik,Hhatl,1
2310046A06Rik,Hspb3,1
2310046A06Rik,Lmod2,1
2310046A06Rik,Myh6,1
2310046A06Rik,Myl7,1
2310046A06Rik,Myom2,1
2310046A06Rik,Myoz2,1
2310046A06Rik,Nlrp10,1
2310046A06Rik,Nppa,1
2310046A06Rik,Obscn,1
2310046A06Rik,Plin5,1
2310046A06Rik,Six4,1
2310046A06Rik,Slc22a1,1
2310046A06Rik,Sln,1
2310046A06Rik,Smpx,1
2310046A06Rik,Tnni3,1
2310061C15Rik,Hipk2,1
2310061C15Rik,Ptcd2,1
2310061I04Rik,Fxr1,1
2310061I04Rik,Mrpl12,1
2310061I04Rik,Supv3l1,1
2410015M20Rik,Pdcd5,1
2410022L05Rik,Entpd6,1
2610029I01Rik,Mrpl12,1
2610203C20Rik,Aebp1,1
2610203C20Rik,Aff3,1
2610203C20Rik,Nfix,1
2610203C20Rik,Sec16b,1
2610203C20Rik,Twist2,1
2610203C20Rik,Zfp354c,1
2610528E23Rik,Pabpc4,1
2610528E23Rik,Ptcd3,1
2610528E23Rik,Rbfox1,1
2700097O09Rik,Prdx3,1
2700097O09Rik,Supv3l1,1
2810004N23Rik,Apbb1,1
2810405K02Rik,Csdc2,1
2810422J05Rik,Stau2,1
