EndNodes_1,EndNodes_2,Weight
0610005C13Rik,Ppara,1
0610007C21Rik,1700123O20Rik,1
0610007C21Rik,Anapc16,1
0610007C21Rik,Apoa1bp,1
0610007C21Rik,Arl6ip5,1
0610007C21Rik,Bcap31,1
0610007C21Rik,C1d,1
0610007C21Rik,Ccdc53,1
0610007C21Rik,Commd7,1
0610007C21Rik,Cr1l,1
0610007C21Rik,Cyb561d2,1
0610007C21Rik,Fam96a,1
0610007C21Rik,Gpr89,1
0610007C21Rik,Hbxip,1
0610007C21Rik,Hdhd2,1
0610007C21Rik,Immp1l,1
0610007C21Rik,Krtcap3,1
0610007C21Rik,Med30,1
0610007C21Rik,Mrps14,1
0610007C21Rik,Mthfs,1
0610007C21Rik,N6amt2,1
0610007C21Rik,Ormdl2,1
0610007C21Rik,Pex7,1
0610007C21Rik,Pigf,1
0610007C21Rik,Pigp,1
0610007C21Rik,Pigy,1
0610007C21Rik,Plekhj1,1
0610007C21Rik,Polr2g,1
0610007C21Rik,Psma2,1
0610007C21Rik,Psmd10,1
0610007C21Rik,Ptplb,1
0610007C21Rik,Pxmp3,1
0610007C21Rik,Sec11a,1
0610007C21Rik,Spg21,1
0610007C21Rik,Tm2d3,1
0610007C21Rik,Tmem205,1
0610007C21Rik,Tmem60,1
0610007C21Rik,Tmem85,1
0610007C21Rik,Trappc4,1
0610007L01Rik,Bcl10,1
0610007N19Rik,Cited4,1
0610007N19Rik,Creb3l1,1
0610007N19Rik,Hes6,1
0610007N19Rik,Ptov1,1
0610007P08Rik,Akap8,1
0610007P08Rik,Brd3,1
0610007P08Rik,C80913,1
0610007P08Rik,Cbfb,1
0610007P08Rik,Cdk2,1
0610007P08Rik,Elp3,1
0610007P08Rik,Exosc10,1
0610007P08Rik,Glmn,1
0610007P08Rik,Hnrnph1,1
0610007P08Rik,Jmjd5,1
0610007P08Rik,Kdm5a,1
0610007P08Rik,Med24,1
0610007P08Rik,Nfx1,1
0610007P08Rik,Ptbp1,1
0610007P08Rik,Snd1,1
0610007P08Rik,Srebf1,1
0610007P08Rik,Tada2a,1
0610007P08Rik,Tgfbr1,1
0610007P08Rik,Unk,1
0610007P08Rik,Wdr75,1
0610007P08Rik,Whsc2,1
0610007P08Rik,Ythdf1,1
0610007P08Rik,Zfp64,1
