EndNodes_1,EndNodes_2,Weight
0610007N19Rik,C3,1
0610007N19Rik,Creb3l1,1
0610007N19Rik,Fzd7,1
0610007N19Rik,Ptgfr,1
0610007N19Rik,Vldlr,1
0610010O12Rik,Ank3,1
0610010O12Rik,Atp1b1,1
0610010O12Rik,Bag1,1
0610010O12Rik,Cebpa,1
0610010O12Rik,Esrp2,1
0610010O12Rik,Fam129b,1
0610010O12Rik,Foxa1,1
0610010O12Rik,Grb7,1
0610010O12Rik,Hnf1b,1
0610010O12Rik,Hpn,1
0610010O12Rik,Irx2,1
0610010O12Rik,Irx5,1
0610010O12Rik,Klf5,1
0610010O12Rik,Mapk13,1
0610010O12Rik,Phlda2,1
0610010O12Rik,Runx1,1
0610010O12Rik,Safb2,1
0610010O12Rik,Tardbp,1
0610010O12Rik,Vdr,1
0610010O12Rik,Wwc1,1
0610011F06Rik,Foxa1,1
0610011F06Rik,Klf5,1
0610011F06Rik,Shh,1
0610011F06Rik,Siva1,1
0610011F06Rik,Zfp7,1
0610038B21Rik,C1qtnf3,1
0610038B21Rik,Ccbe1,1
0610038B21Rik,Dact1,1
0610038B21Rik,Ddr2,1
0610038B21Rik,Fbln1,1
0610038B21Rik,Fgf2,1
0610038B21Rik,Gli1,1
0610038B21Rik,Heyl,1
0610038B21Rik,Nbl1,1
0610038B21Rik,Pid1,1
0610038B21Rik,Slit3,1
0610038B21Rik,Zfp354c,1
0610040J01Rik,4933436C20Rik,1
0610040J01Rik,Atp1b1,1
0610040J01Rik,Elf3,1
0610040J01Rik,Erbb3,1
0610040J01Rik,Hnf1b,1
0610040J01Rik,Irx2,1
0610040J01Rik,Map3k9,1
0610040J01Rik,Pcgf2,1
0610040J01Rik,Phlda2,1
0610040J01Rik,Tfcp2l1,1
1110012J17Rik,4933436C20Rik,1
1110012J17Rik,Ank3,1
1110012J17Rik,Bex2,1
1110012J17Rik,C6,1
1110012J17Rik,Cebpa,1
1110012J17Rik,Elf5,1
1110012J17Rik,Epcam,1
1110012J17Rik,Erbb3,1
1110012J17Rik,Esrp2,1
1110012J17Rik,Eya1,1
1110012J17Rik,Foxa1,1
1110012J17Rik,Foxa2,1
1110012J17Rik,Gclc,1
1110012J17Rik,Grhl2,1
1110012J17Rik,Hnf1b,1
1110012J17Rik,Hpn,1
1110012J17Rik,Irx1,1
1110012J17Rik,Irx3,1
1110012J17Rik,Irx5,1
1110012J17Rik,Klf5,1
1110012J17Rik,Lpin2,1
1110012J17Rik,Map3k9,1
1110012J17Rik,Mapk13,1
1110012J17Rik,Nkx2-1,1
1110012J17Rik,Phlda2,1
1110012J17Rik,Prkci,1
1110012J17Rik,Ripk4,1
1110012J17Rik,Shh,1
1110012J17Rik,Slc26a9,1
1110012J17Rik,Sp5,1
1110012J17Rik,Vim,-1
1110017D15Rik,Ankrd42,1
1110017D15Rik,Epb4.1l4b,1
1110017D15Rik,Foxj1,1
1110017D15Rik,Myb,1
1110017F19Rik,4933436C20Rik,1
1110017F19Rik,Ank3,1
1110017F19Rik,Cdh1,1
1110017F19Rik,Cebpa,1
1110017F19Rik,Elf3,1
1110017F19Rik,Epcam,1
1110017F19Rik,Esrp1,1
1110017F19Rik,Esrp2,1
1110017F19Rik,Grb7,1
1110017F19Rik,Hnf1b,1
1110017F19Rik,Irx1,1
1110017F19Rik,Irx2,1
1110017F19Rik,Map3k9,1
1110017F19Rik,Phlda2,1
1110017F19Rik,Tfcp2l1,1
1110017F19Rik,Vdr,1
1110050K14Rik,Ace,1
1110050K14Rik,Acvrl1,1
1110050K14Rik,Foxf1a,1
1110050K14Rik,Tmem100,1
1190002H23Rik,Cftr,1
1190002H23Rik,Chi3l1,1
1190002H23Rik,Ehf,1
1190002H23Rik,Elf5,1
1190002H23Rik,Gm20554,1
1190002H23Rik,Lrp2,1
1190002H23Rik,Macc1,1
1190002H23Rik,Myh7,1
1190002H23Rik,Sp5,1
1190003J15Rik,Ank3,1
1190003J15Rik,Bex2,1
1190003J15Rik,Cebpa,1
1190003J15Rik,Epcam,1
1190003J15Rik,Eya1,1
1190003J15Rik,Grb7,1
1190003J15Rik,Hpn,1
1190003J15Rik,Irx1,1
1190003J15Rik,Irx2,1
1190003J15Rik,Irx3,1
1190003J15Rik,Irx5,1
1190003J15Rik,Klf5,1
1190003J15Rik,Mapk13,1
1190003J15Rik,Mxd1,1
1190003J15Rik,Pcgf2,1
1190003J15Rik,Phlda2,1
1190003J15Rik,Slc26a9,1
1190003J15Rik,Tesc,1
1190003J15Rik,Tfcp2l1,1
1190003J15Rik,Txlng,1
1190003J15Rik,Wwc1,1
1190007F08Rik,Arhgef10l,1
1190007F08Rik,Bmpr1a,1
1200009I06Rik,Cyr61,1
1200016B10Rik,Cat,1
1200016B10Rik,Gclc,1
1200016B10Rik,Pbx3,1
1300001I01Rik,Eif3b,1
1500003O03Rik,Aldh7a1,1
1500003O03Rik,Cisd2,1
1500003O03Rik,Cldn12,1
1500003O03Rik,Clock,1
1500003O03Rik,Fig4,1
1500003O03Rik,Fndc3a,1
1500003O03Rik,Phyh,1
1500003O03Rik,Ppl,1
1500003O03Rik,Ptp4a1,1
1500003O03Rik,Rhbdl3,1
1500003O03Rik,Svil,1
1600029I14Rik,Ankrd42,1
1600029I14Rik,Epb4.1l4b,1
1600029I14Rik,Foxj1,1
1600029I14Rik,Six4,1
1600029I14Rik,Spag8,1
1600029I14Rik,Stk36,1
1600029I14Rik,Zfp239,1
1700001C02Rik,Ankrd42,1
1700001C02Rik,Foxj1,1
1700001C02Rik,Myb,1
1700001C02Rik,Traf3ip1,1
1700003E16Rik,Piwil4,1
1700003E16Rik,Rwdd3,1
1700003M02Rik,Ankrd42,1
1700003M02Rik,Foxj1,1
1700003M02Rik,Spag8,1
1700003M02Rik,Stk36,1
1700003M02Rik,Zfp54,1
1700007G11Rik,Dydc2,1
1700007G11Rik,Foxj1,1
1700007G11Rik,Mak,1
1700007G11Rik,Rbm24,1
1700007G11Rik,Ryr2,1
1700007G11Rik,Spag8,1
1700007K13Rik,Dydc2,1
1700007K13Rik,Mak,1
1700007K13Rik,Mapk15,1
1700007K13Rik,Trp73,1
1700007L15Rik,Ankrd42,1
1700007L15Rik,Myb,1
1700009P17Rik,Foxj1,1
1700009P17Rik,Myb,1
1700013F07Rik,Dydc2,1
1700013F07Rik,Mak,1
1700013F07Rik,Mapk15,1
1700013F07Rik,Trp73,1
1700016K19Rik,Epb4.1l4b,1
1700016K19Rik,Foxj1,1
1700016K19Rik,Myb,1
1700016K19Rik,Stk36,1
1700019D03Rik,Creb3l1,1
1700019D03Rik,Ebf2,1
1700019D03Rik,Eif4enif1,1
1700019D03Rik,Fzd2,1
1700019D03Rik,Gdf10,1
1700019D03Rik,Gli1,1
1700019D03Rik,Il6,1
1700019D03Rik,Ngf,1
1700019D03Rik,Tceal5,1
1700019L03Rik,Foxj1,1
1700019L03Rik,Spata24,1
1700019L03Rik,Zfp54,1
1700021K19Rik,Dapk1,1
1700024G13Rik,Dydc2,1
1700024G13Rik,Foxj1,1
1700024G13Rik,Mapk15,1
1700024G13Rik,Stk30,1
1700025G04Rik,Tgfbr2,1
1700026D08Rik,Ankrd42,1
1700026D08Rik,Foxj1,1
1700026D08Rik,Myb,1
1700027A23Rik,Foxj1,1
1700027A23Rik,Mak,1
1700027A23Rik,Mapk15,1
1700027A23Rik,Trp73,1
1700084E18Rik,Fgfr2,-1
1700088E04Rik,Bbs7,1
1700088E04Rik,Spata24,1
1700088E04Rik,Zfp54,1
1700094D03Rik,Epb4.1l4b,1
1810008I18Rik,Prkcz,1
1810008I18Rik,Tbx1,1
1810011O10Rik,Nostrin,1
1810019D21Rik,Arhgef5,1
1810019D21Rik,Cat,1
1810019D21Rik,Cebpa,1
1810019D21Rik,Epb4.1l5,1
1810019D21Rik,Foxa1,1
1810019D21Rik,Foxp4,1
1810019D21Rik,Hpn,1
1810019D21Rik,Irx5,1
1810019D21Rik,Klf5,1
1810019D21Rik,Mapk13,1
1810019D21Rik,Phlda2,1
1810019D21Rik,Runx1,1
1810019D21Rik,Shh,1
1810019D21Rik,Siva1,1
1810019D21Rik,Tardbp,1
1810019D21Rik,Tcea3,1
1810019D21Rik,Vdr,1
1810019D21Rik,Zfp7,1
1810019J16Rik,Arhgef5,1
1810019J16Rik,Ddx46,1
1810019J16Rik,Elf3,1
1810019J16Rik,Epcam,1
1810019J16Rik,Erbb3,1
1810019J16Rik,Esrp1,1
1810019J16Rik,Ezr,1
1810019J16Rik,Foxa1,1
1810019J16Rik,Foxa2,1
1810019J16Rik,Hnf1b,1
1810019J16Rik,Irx1,1
1810019J16Rik,Irx5,1
1810019J16Rik,Klf5,1
1810019J16Rik,Mapk13,1
1810019J16Rik,Phlda2,1
1810019J16Rik,Runx1,1
1810019J16Rik,Shh,1
1810019J16Rik,Tesc,1
1810019J16Rik,Vdr,1
1810019J16Rik,Wnt7b,1
1810019J16Rik,Zfp7,1
2010001M06Rik,Fam129a,1
2010107G23Rik,Arhgef5,1
2010107G23Rik,Ddx46,1
2010107G23Rik,Epb4.1l5,1
2010107G23Rik,Epcam,1
2010107G23Rik,Esrp2,1
2010107G23Rik,Foxa1,1
2010107G23Rik,Gclc,1
2010107G23Rik,Hpn,1
2010107G23Rik,Irx1,1
2010107G23Rik,Mapk13,1
2010107G23Rik,Phlda2,1
2010107G23Rik,Prkci,1
2010107G23Rik,Ripk4,1
2010107G23Rik,Shh,1
2010107G23Rik,Wnt7b,1
2010107G23Rik,Wwc1,1
2010107G23Rik,Zfp612,1
2010300C02Rik,Cep290,1
2010300C02Rik,Eya2,1
2210020M01Rik,Spata24,1
2210020M01Rik,Zfp54,1
2310007B03Rik,Esrp1,1
2310007B03Rik,Foxa1,1
2310007B03Rik,Grhl2,1
2310007B03Rik,Scgb1a1,1
2310007B03Rik,Wnt7b,1
2310007L24Rik,Foxj1,1
2310007L24Rik,Myb,1
2310030G06Rik,Ank3,1
2310030G06Rik,Arhgef5,1
2310030G06Rik,Atp1b1,1
2310030G06Rik,Cebpa,1
2310030G06Rik,Epb4.1l5,1
2310030G06Rik,Epcam,1
2310030G06Rik,Erbb3,1
2310030G06Rik,Esrp2,1
2310030G06Rik,Ezr,1
2310030G06Rik,Foxa1,1
2310030G06Rik,Foxa2,1
2310030G06Rik,Gclc,1
2310030G06Rik,Grhl2,1
2310030G06Rik,Hnf1b,1
2310030G06Rik,Hpn,1
2310030G06Rik,Irx5,1
2310030G06Rik,Klf5,1
2310030G06Rik,Mapk13,1
2310030G06Rik,Nkx2-1,1
2310030G06Rik,Phlda2,1
2310030G06Rik,Prkci,1
2310030G06Rik,Ripk4,1
2310030G06Rik,Runx1,1
2310030G06Rik,Shh,1
2310030G06Rik,Siva1,1
2310030G06Rik,Tardbp,1
2310030G06Rik,Wnt7b,1
2310030G06Rik,Zfp612,1
2310030G06Rik,Zfp7,1
2310034G01Rik,Foxj1,1
2310034G01Rik,Mapk15,1
2310034G01Rik,Piwil4,1
2410004P03Rik,Trp73,1
2610015P09Rik,Foxj1,1
2610015P09Rik,Sox2,1
2610015P09Rik,Spag8,1
2610019F03Rik,Inpp5k,1
2610019F03Rik,Prdm1,1
2610019F03Rik,Prx,1
2610019F03Rik,Zfp697,1
2610028H24Rik,4933436C20Rik,1
2610028H24Rik,Ank3,1
2610028H24Rik,Cdh1,1
2610028H24Rik,Elf3,1
2610028H24Rik,Epcam,1
2610028H24Rik,Esrp1,1
2610028H24Rik,Esrp2,1
2610028H24Rik,Ezr,1
2610028H24Rik,Foxa1,1
2610028H24Rik,Foxa2,1
2610028H24Rik,Grb7,1
2610028H24Rik,Grhl2,1
2610028H24Rik,Hnf1b,1
2610028H24Rik,Hpn,1
2610028H24Rik,Irx3,1
2610028H24Rik,Irx5,1
2610028H24Rik,Nkx2-1,1
2610028H24Rik,Phlda2,1
2610028H24Rik,Piwil4,1
2610028H24Rik,Shh,1
2610028H24Rik,Vdr,1
2610028H24Rik,Wwc1,1
2610028H24Rik,Zfp612,1
2610203C20Rik,Art4,1
2610203C20Rik,Cmklr1,1
2610203C20Rik,Heyl,1
2610301B20Rik,Nek4,1
2610301B20Rik,Tcea3,1
2610305D13Rik,Zbtb46,1
2610305D13Rik,Zfp600,1
2610507B11Rik,Smarca5,1
2610507B11Rik,Tob2,1
2610507B11Rik,Zbed6,1
2610528J11Rik,4933436C20Rik,1
2610528J11Rik,Ank3,1
2610528J11Rik,Atp1b1,1
2610528J11Rik,Cdh1,1
2610528J11Rik,Ddx46,1
2610528J11Rik,Elf3,1
2610528J11Rik,Epcam,1
2610528J11Rik,Erbb3,1
2610528J11Rik,Esrp1,1
2610528J11Rik,Esrp2,1
2610528J11Rik,Fam129b,1
2610528J11Rik,Foxa1,1
2610528J11Rik,Foxa2,1
2610528J11Rik,Grb7,1
2610528J11Rik,Grhl2,1
2610528J11Rik,Hnf1b,1
2610528J11Rik,Hpn,1
2610528J11Rik,Irx1,1
2610528J11Rik,Irx2,1
2610528J11Rik,Irx3,1
2610528J11Rik,Irx5,1
2610528J11Rik,Klf5,1
2610528J11Rik,Map3k9,1
2610528J11Rik,Mapk13,1
2610528J11Rik,Nkx2-1,1
2610528J11Rik,Pcbd1,1
2610528J11Rik,Phlda2,1
2610528J11Rik,Prkci,1
2610528J11Rik,Ripk4,1
2610528J11Rik,Shh,1
2610528J11Rik,Vdr,1
2610528J11Rik,Wnt7b,1
2610528J11Rik,Wwc1,1
2610528J11Rik,Zfp612,1
2610528J11Rik,Zfp7,1
2700094K13Rik,Cat,1
2810025M15Rik,Ccdc85b,1
2810025M15Rik,Ctla2a,1
2810025M15Rik,Nlrc5,1
2810025M15Rik,Plaur,1
2810025M15Rik,Ybx1,1
2810055F11Rik,5430435G22Rik,1
2810055F11Rik,C1qtnf1,1
2810055F11Rik,Col1a1,1
2810055F11Rik,Cys1,1
2810055F11Rik,Ddr2,1
2810055F11Rik,Fbln1,1
2810055F11Rik,Gli2,1
2810055F11Rik,Igf1,1
2810055F11Rik,Larp6,1
2810055F11Rik,Zfp354c,1
2810433D01Rik,Atf5,1
2810433D01Rik,Bnc2,1
2810433D01Rik,C1qtnf1,1
2810433D01Rik,C1qtnf3,1
2810433D01Rik,Clec3b,1
2810433D01Rik,Dact1,1
2810433D01Rik,Gas1,1
2810433D01Rik,Gpc3,1
2810433D01Rik,Heyl,1
2810433D01Rik,Htra3,1
2810433D01Rik,Larp6,1
2810433D01Rik,Ntrk1,1
2810433D01Rik,Osr1,1
2810433D01Rik,Osr2,1
2810433D01Rik,Pid1,1
2810433D01Rik,Prrx1,1
2810433D01Rik,Ptgfr,1
2810433D01Rik,Slit3,1
2900097C17Rik,Aff4,1
2900097C17Rik,Gpbp1,1
2900097C17Rik,Map3k2,1
