EndNodes_1,EndNodes_2,Weight
0610007P14Rik,Vps25,1
0610007P22Rik,Nsd1,1
0610007P22Rik,Rnf6,1
0610007P22Rik,Snapc2,1
0610007P22Rik,Uchl5,1
0610007P22Rik,Upf3b,1
0610007P22Rik,Zfp7,1
0610009B22Rik,Maf1,1
0610009L18Rik,Stk30,1
0610009L18Rik,Suds3,1
0610009L18Rik,Ubr2,1
0610010O12Rik,Clu,1
0610011F06Rik,Cbx7,1
0610011F06Rik,Prkcz,1
0610011F06Rik,Tirap,1
0610011F06Rik,Wbp2,1
0610011L14Rik,Eya2,1
0610011L14Rik,Ezh2,1
0610011L14Rik,Map2k2,1
0610011L14Rik,Mll2,1
0610011L14Rik,Pdcd5,1
0610011L14Rik,Tarbp2,1
0610011L14Rik,Tfap2b,1
0610011L14Rik,Ube2l3,1
0610030E20Rik,Cbx7,1
0610031J06Rik,Chd6,1
0610031J06Rik,Cyhr1,1
0610031J06Rik,Dhx40,1
0610031J06Rik,Doc2g,1
0610031J06Rik,Gon4l,1
0610031J06Rik,Hbp1,1
0610031J06Rik,Hist3h2a,1
0610031J06Rik,Pcmtd2,1
0610031J06Rik,Phyh,1
0610031J06Rik,Phyhd1,1
0610031J06Rik,Qsox1,1
0610031J06Rik,Sfi1,1
0610031J06Rik,Sil1,1
0610031J06Rik,Spire2,1
0610031J06Rik,Tmem53,1
0610031J06Rik,Ttc38,1
0610031J06Rik,Wdr19,1
0610037P05Rik,Fkbp8,1
0610040B10Rik,Rwdd3,1
0610040F04Rik,Nrip2,1
0610040F04Rik,Reln,1
0610040J01Rik,Tfcp2l1,1
0610040J01Rik,Zbtb42,1
0910001L09Rik,Cobra1,1
0910001L09Rik,Inpp5k,1
1110001A16Rik,Dedd2,1
1110001A16Rik,Erbb3,1
1110001A16Rik,Sort1,1
1110001A16Rik,Spdef,1
1110001A16Rik,Zfp710,1
1110002N22Rik,Ccdc58,1
1110002N22Rik,Mrpl44,1
1110002N22Rik,Nudc,1
1110002N22Rik,Psma2,1
1110002N22Rik,Psmb3,1
1110003E01Rik,Plac8,1
1110004E09Rik,Med11,1
1110004E09Rik,Rdbp,1
1110004F10Rik,Bloc1s2,1
1110004F10Rik,Cops5,1
1110004F10Rik,Ddx54,1
1110004F10Rik,Dnttip1,1
1110004F10Rik,Eif2b5,1
1110004F10Rik,Exosc4,1
1110004F10Rik,Fubp3,1
1110004F10Rik,H2afy,1
1110004F10Rik,Hdac3,1
1110004F10Rik,Nono,1
1110004F10Rik,Ptges2,1
1110004F10Rik,Rqcd1,1
1110004F10Rik,Ssrp1,1
1110004F10Rik,Wdr61,1
1110007C09Rik,Elf3,1
1110008F13Rik,Abt1,1
1110008F13Rik,C1qbp,1
1110008F13Rik,Ctbp1,1
1110008F13Rik,Ddx20,1
1110008F13Rik,Dicer1,1
1110008F13Rik,Eef1d,1
1110008F13Rik,Eif2s1,1
1110008F13Rik,Eif3b,1
1110008F13Rik,Eif3d,1
1110008F13Rik,Exosc9,1
1110008F13Rik,Fhl2,1
1110008F13Rik,Gspt1,1
1110008F13Rik,Gtf2h1,1
1110008F13Rik,Hat1,1
1110008F13Rik,Ilf2,1
1110008F13Rik,Magohb,1
1110008F13Rik,Med22,1
1110008F13Rik,Mina,1
1110008F13Rik,Mrpl12,1
1110008F13Rik,Mrto4,1
1110008F13Rik,Mterfd1,1
1110008F13Rik,Mybbp1a,1
1110008F13Rik,N4bp2l2,1
1110008F13Rik,Nme1,1
1110008F13Rik,Nol11,1
1110008F13Rik,Pa2g4,1
1110008F13Rik,Pcgf6,1
1110008F13Rik,Pdcd10,1
1110008F13Rik,Pfn1,1
1110008F13Rik,Phf5a,1
1110008F13Rik,Prmt1,1
1110008F13Rik,Prmt5,1
1110008F13Rik,Ptcd3,1
1110008F13Rik,Rbm17,1
1110008F13Rik,Rbm22,1
1110008F13Rik,Rbm4,1
1110008F13Rik,Rbm8a,1
1110008F13Rik,Riok1,1
1110008F13Rik,Riok2,1
1110008F13Rik,Rrn3,1
1110008F13Rik,Ruvbl2,1
1110008F13Rik,Slc35a4,1
1110008F13Rik,Sltm,1
1110008F13Rik,Smn1,1
1110008F13Rik,Snip1,1
1110008F13Rik,Srsf1,1
1110008F13Rik,Sumo2,1
1110008F13Rik,Taf13,1
1110008F13Rik,Taf5l,1
1110008F13Rik,Tcerg1,1
1110008F13Rik,Thoc1,1
1110008F13Rik,Trim13,1
1110008F13Rik,Trim27,1
1110008F13Rik,Trp53,1
1110008F13Rik,Wdr5,1
1110008F13Rik,Wdr75,1
1110008F13Rik,Xrn2,1
1110008F13Rik,Zfp259,1
1110008F13Rik,Zfp35,1
1110008L16Rik,4921513D23Rik,1
1110008L16Rik,Hist1h1d,1
1110008L16Rik,Pkig,1
1110008L16Rik,Prkcz,1
1110008L16Rik,Rfx3,1
1110008L16Rik,Sema4d,1
1110008L16Rik,Tirap,1
1110008L16Rik,Wbp2,1
1110008L16Rik,Zfp3,1
1110008L16Rik,Zfp579,1
1110008P14Rik,Btf3,1
1110008P14Rik,Exosc4,1
1110008P14Rik,Lmx1b,1
1110008P14Rik,Map2k2,1
1110008P14Rik,Uchl5,1
1110008P14Rik,Upf3b,1
1110008P14Rik,Uqcc,1
1110008P14Rik,Zfp263,1
1110008P14Rik,Zfp7,1
1110008P14Rik,Zmym5,1
1110012L19Rik,Zfp414,1
1110014N23Rik,Cdc123,1
1110014N23Rik,Commd3,1
1110014N23Rik,Gpbp1l1,1
1110014N23Rik,Gtpbp2,1
1110014N23Rik,Igbp1,1
1110014N23Rik,Ikbkg,1
1110014N23Rik,Usp22,1
1110014N23Rik,Usp3,1
1110014N23Rik,Zfp110,1
1110014N23Rik,Zfp579,1
1110017D15Rik,Mak,1
1110021L09Rik,Wfs1,1
1110028F18Rik,Galr3,1
1110028F18Rik,Glrp1,1
1110031I02Rik,Cbx1,1
1110031I02Rik,Cdc37,1
1110031I02Rik,Clpp,1
1110031I02Rik,Eya2,1
1110031I02Rik,Fiz1,1
1110031I02Rik,Gnb2l1,1
1110031I02Rik,Gtf2a2,1
1110031I02Rik,Lmx1b,1
1110031I02Rik,Map2k2,1
1110031I02Rik,Mll2,1
1110031I02Rik,Naca,1
1110031I02Rik,Nanos3,1
1110031I02Rik,Paip2b,1
1110031I02Rik,Ptrh2,1
1110031I02Rik,Rnf8,1
1110031I02Rik,Snw1,1
1110031I02Rik,Supv3l1,1
1110031I02Rik,Tfam,1
1110031I02Rik,Ube2l3,1
1110031I02Rik,Ywhaq,1
1110031I02Rik,Zfp821,1
1110032A03Rik,2310042D19Rik,1
1110032A03Rik,Arid3b,1
1110032A03Rik,Hist1h1d,1
1110032A03Rik,Hist1h3d,1
1110032A03Rik,Pcx,1
1110032A03Rik,Prkcz,1
1110032A03Rik,Sema4d,1
1110032A03Rik,Spdef,1
1110032A03Rik,Tead2,1
1110032A03Rik,Tfcp2l1,1
1110032A03Rik,Zbtb42,1
1110032A03Rik,Zfp579,1
1110038B12Rik,Ilf2,1
1110038B12Rik,Nrip1,1
1110038B12Rik,Pqbp1,1
1110038B12Rik,Prmt1,1
1110038D17Rik,Gpbp1l1,1
1110038D17Rik,Usp3,1
1110038F14Rik,Ash2l,1
1110038F14Rik,Exosc4,1
1110038F14Rik,Nono,1
1110038F14Rik,Pias4,1
1110049F12Rik,Akap8,1
1110049F12Rik,Cbx1,1
1110049F12Rik,Cdc37,1
1110049F12Rik,Ddx39b,1
1110049F12Rik,Dnajc2,1
1110049F12Rik,Dpf2,1
1110049F12Rik,Eif2b5,1
1110049F12Rik,Eif3c,1
1110049F12Rik,Gata3,1
1110049F12Rik,Gnb2l1,1
1110049F12Rik,H2afy,1
1110049F12Rik,Kars,1
1110049F12Rik,Mll2,1
1110049F12Rik,Nanos3,1
