EndNodes_1,EndNodes_2,Weight
0610007P14Rik,Aarsd1,1
0610007P14Rik,Abcf1,1
0610007P14Rik,Cand1,1
0610007P14Rik,Exosc6,1
0610007P14Rik,Gspt1,1
0610007P14Rik,Mad2l2,1
0610007P14Rik,Meaf6,1
0610007P14Rik,Med9,1
0610007P14Rik,Ptrh2,1
0610007P14Rik,Taf1d,1
0610009B22Rik,Dnttip1,1
0610009B22Rik,Snapc2,1
0610009D07Rik,Psmc5,1
0610009D07Rik,Vps72,1
0610009D07Rik,Ythdf2,1
0610009O20Rik,Ccnh,1
0610009O20Rik,Dcps,1
0610009O20Rik,Dmap1,1
0610009O20Rik,Eif4e,1
0610009O20Rik,Hdac3,1
0610009O20Rik,Leo1,1
0610009O20Rik,Med9,1
0610009O20Rik,Mtf2,1
0610009O20Rik,Tcerg1,1
0610009O20Rik,Ubap2,1
0610010K14Rik,Dpy30,1
0610010K14Rik,Htatsf1,1
0610011F06Rik,Ldb1,1
0610011F06Rik,Sigirr,1
0610011L14Rik,Dnaja3,1
0610011L14Rik,Hsf1,1
0610011L14Rik,Mettl3,1
0610011L14Rik,Nol11,1
0610011L14Rik,Prmt5,1
0610011L14Rik,Ptcd2,1
0610011L14Rik,Rbck1,1
0610011L14Rik,Thoc5,1
0610011L14Rik,Utp15,1
0610011L14Rik,Zfp771,1
0610012G03Rik,Cdk5rap3,1
0610012G03Rik,D17Wsu104e,1
0610012G03Rik,Ddrgk1,1
0610012G03Rik,Thap7,1
1110001J03Rik,Ash2l,1
1110001J03Rik,Clpp,1
1110001J03Rik,Dcps,1
1110001J03Rik,Eefsec,1
1110001J03Rik,Eprs,1
1110001J03Rik,Mina,1
1110001J03Rik,Ncbp2,1
1110001J03Rik,Ppid,1
1110001J03Rik,Ptrh2,1
1110001J03Rik,Rai12,1
1110001J03Rik,Rg9mtd1,1
1110001J03Rik,Ripk3,1
1110001J03Rik,Snapc2,1
1110001J03Rik,Wdr61,1
1110002N22Rik,1190007I07Rik,1
1110002N22Rik,2810004N23Rik,1
1110002N22Rik,2810025M15Rik,1
1110002N22Rik,Aasdhppt,1
1110002N22Rik,Aatf,1
1110002N22Rik,Adsl,1
1110002N22Rik,Akr1e1,1
1110002N22Rik,Apex1,1
1110002N22Rik,Arl2,1
1110002N22Rik,Armc10,1
1110002N22Rik,Atad3a,1
1110002N22Rik,Bag5,1
1110002N22Rik,Bod1,1
1110002N22Rik,Chchd4,1
1110002N22Rik,Chchd6,1
1110002N22Rik,Cops7a,1
1110002N22Rik,Dctd,1
1110002N22Rik,Dkc1,1
1110002N22Rik,Dnttip2,1
1110002N22Rik,Eif2b3,1
1110002N22Rik,Exosc1,1
1110002N22Rik,Fam136a,1
1110002N22Rik,Fam162a,1
