EndNodes_1,EndNodes_2,Weight
0610007C21Rik,Clns1a,1
0610007C21Rik,Ctso,1
0610007C21Rik,Rcn2,1
0610007C21Rik,Serinc1,1
0610007C21Rik,Srp14,1
0610007C21Rik,Tmed10,1
0610007C21Rik,Tmem30a,1
0610007C21Rik,Tusc3,1
0610007C21Rik,Wdsub1,1
0610007C21Rik,Yipf1,1
0610007L01Rik,Apba1,1
0610007L01Rik,Dnajc3,1
0610007P08Rik,Prkcz,1
0610007P14Rik,Chchd3,1
0610007P14Rik,Eny2,1
0610007P14Rik,Pcbd2,1
0610007P14Rik,Pdcd6,1
0610007P22Rik,Hist3h2a,1
0610007P22Rik,Mta3,1
0610007P22Rik,Slc30a9,1
0610007P22Rik,Smyd2,1
0610009B22Rik,Cdc123,1
0610009B22Rik,Commd9,1
0610009B22Rik,Cops5,1
0610009B22Rik,Dnajb6,1
0610009B22Rik,Ift52,1
0610009B22Rik,Leo1,1
0610009B22Rik,Med29,1
0610009B22Rik,Prkaca,1
0610009B22Rik,Snapc2,1
0610009B22Rik,Zfp184,1
0610009D07Rik,Ccdc56,1
0610009D07Rik,Sub1,1
0610010K14Rik,5033414D02Rik,1
0610010K14Rik,Actl6a,1
0610010K14Rik,Anxa7,1
0610010K14Rik,Chmp1a,1
0610010K14Rik,Clk3,1
0610010K14Rik,Gtf2a2,1
0610010K14Rik,Kars,1
0610010K14Rik,Kti12,1
0610010K14Rik,Ngdn,1
0610010K14Rik,Psmc4,1
0610010K14Rik,Sra1,1
0610010K14Rik,Srsf9,1
0610010K14Rik,Tfpt,1
0610010K14Rik,Ube2v1,1
0610010K14Rik,Vps25,1
0610010O12Rik,Cnpy2,1
0610010O12Rik,Hmgn2,1
0610010O12Rik,Ndufa13,1
0610010O12Rik,Prdx5,1
0610011L14Rik,1500002O20Rik,1
0610011L14Rik,Actr8,1
0610011L14Rik,Dnaja3,1
0610011L14Rik,Prpf6,1
0610012G03Rik,Ngdn,1
0610031J06Rik,Ctsd,1
0610031J06Rik,Mat2b,1
0610031J06Rik,Mcmbp,1
0610031J06Rik,Snapin,1
0610037L13Rik,Eif2s1,1
0610037L13Rik,Larp7,1
0610037L13Rik,Ppid,1
0610037L13Rik,Ptges3,1
0610037L13Rik,Rbck1,1
0610037L13Rik,Rnf168,1
0610037L13Rik,Sumo2,1
0610040J01Rik,Foxa2,1
0610040J01Rik,Prkcz,1
0910001L09Rik,Bbs4,1
0910001L09Rik,Chchd3,1
0910001L09Rik,Dpy30,1
0910001L09Rik,Elof1,1
0910001L09Rik,Lsm4,1
0910001L09Rik,Ncbp2,1
0910001L09Rik,Ssrp1,1
0910001L09Rik,Znhit1,1
1110001A16Rik,Bbs4,1
1110001A16Rik,Chchd3,1
1110001A16Rik,Dpy30,1
1110001A16Rik,Eif4a2,1
1110001A16Rik,Med29,1
1110001J03Rik,Cnpy2,1
1110001J03Rik,Dpy30,1
1110002B05Rik,Anxa4,1
1110002B05Rik,Bag1,1
1110002B05Rik,Fkbp8,1
1110002B05Rik,Phb,1
1110002B05Rik,Psmc3,1
1110002B05Rik,Supt4h1,1
1110002B05Rik,Trim13,1
1110002B05Rik,Zfp706,1
1110002N22Rik,2410001C21Rik,1
1110002N22Rik,Ascc1,1
1110002N22Rik,Bloc1s2,1
1110002N22Rik,Cript,1
1110002N22Rik,Fam161b,1
1110002N22Rik,Lyrm2,1
1110002N22Rik,Nudt16l1,1
1110002N22Rik,Pin4,1
1110002N22Rik,Siva1,1
1110002N22Rik,Tbc1d7,1
1110002N22Rik,Tsnax,1
1110003E01Rik,Atp6ap2,1
1110003E01Rik,Pofut2,1
1110004E09Rik,Park7,1
1110004F10Rik,1810035L17Rik,1
1110004F10Rik,2700060E02Rik,1
1110004F10Rik,Akirin2,1
1110004F10Rik,Anp32a,1
1110004F10Rik,Cdkn1b,1
1110004F10Rik,Chchd2,1
1110004F10Rik,H2afv,1
1110004F10Rik,Hnrnpu,1
1110004F10Rik,Larp7,1
1110004F10Rik,Lsm4,1
1110004F10Rik,Med30,1
1110004F10Rik,Med6,1
1110004F10Rik,Ncl,1
1110004F10Rik,Nono,1
1110004F10Rik,Pdcd5,1
1110004F10Rik,Pkig,1
1110004F10Rik,Pnrc2,1
1110004F10Rik,Ppid,1
1110004F10Rik,Prr13,1
1110004F10Rik,Rbbp4,1
1110004F10Rik,Rfxap,1
1110004F10Rik,Sap18,1
1110004F10Rik,Sarnp,1
1110004F10Rik,Smarce1,1
1110004F10Rik,Snw1,1
1110004F10Rik,Sumo2,1
1110004F10Rik,Taf10,1
1110004F10Rik,Tsg101,1
1110004F10Rik,Ube2l3,1
1110004F10Rik,Zfp90,1
1110005A03Rik,Cdc123,1
1110005A03Rik,Pkia,1
1110005A03Rik,Sap30,1
1110005A03Rik,Zfp959,1
1110008F13Rik,Eif4e2,1
1110008F13Rik,Vhl,1
1110008L16Rik,Zbtb22,1
1110012J17Rik,Sort1,1
1110012L19Rik,Eif3e,1
1110012L19Rik,Rpl26,1
1110014N23Rik,Cby1,1
1110014N23Rik,Ssrp1,1
1110018J18Rik,Cdc37,1
1110018J18Rik,Flot2,1
1110018J18Rik,Hnrnpab,1
1110018J18Rik,Psma6,1
1110018J18Rik,Snapc5,1
1110018J18Rik,Trim13,1
1110020A21Rik,Rit2,1
1110020A21Rik,Skap1,1
1110028C15Rik,Hnf1b,1
1110028C15Rik,Pkhd1,1
1110028C15Rik,Tle2,1
1110032A03Rik,Bbs4,1
1110032A03Rik,Ift57,1
1110032A03Rik,Mta3,1
1110032A03Rik,Smyd2,1
1110034G24Rik,Elp4,1
1110038F14Rik,Clk3,1
1110049F12Rik,Cand1,1
1110049F12Rik,Kdm5c,1
1110057K04Rik,Vipar,1
1110059E24Rik,Hnrnpr,1
1110059E24Rik,Sap30bp,1
1110059G10Rik,Rnf168,1
1110065P20Rik,Rbm4,1
1190002H23Rik,Clec14a,1
1190002H23Rik,Eltd1,1
1190002H23Rik,Sema7a,1
1190003J15Rik,Erbb3,1
1190003J15Rik,Fgfr4,1
1190003J15Rik,Gm98,1
1190003J15Rik,Map3k13,1
1190003J15Rik,Nfe2l3,1
1190003J15Rik,Sall1,1
1190003J15Rik,Stat4,1
1190003J15Rik,Trf,1
1190003J15Rik,Vwc2,1
1190003J15Rik,Zfp7,1
1190003J15Rik,Zfp750,1
1190005F20Rik,Cdc73,1
1190005F20Rik,Gtf3a,1
1190005F20Rik,Irf2bp1,1
1190005I06Rik,Mapk13,1
1190007F08Rik,Otud7b,1
1190007I07Rik,Spata24,1
1200009I06Rik,Cd34,1
