EndNodes_1,EndNodes_2,Weight
0610007L01Rik,Foxk2,1
0610007L01Rik,Sf3b4,1
0610007P14Rik,Sarnp,1
0610009B22Rik,Sgms1,1
0610009D07Rik,1810011O10Rik,1
0610009D07Rik,Baz1a,1
0610009D07Rik,Camk1,-1
0610009D07Rik,Dmd,-1
0610009D07Rik,Ecm1,-1
0610009D07Rik,Fosl1,1
0610009D07Rik,Id2,-1
0610009D07Rik,Lmo1,-1
0610009D07Rik,Lrp4,1
0610009D07Rik,Mcts1,1
0610009D07Rik,Mitf,-1
0610009D07Rik,Nab1,1
0610009D07Rik,Nbl1,-1
0610009D07Rik,Nme2,1
0610009D07Rik,Peg3,-1
0610009D07Rik,Rplp1,1
0610009D07Rik,Senp2,1
0610009D07Rik,Tfap2c,1
0610009D07Rik,Tnfaip3,1
0610009D07Rik,Trim16,1
0610009D07Rik,Zfp593,1
0610009D07Rik,Zfp704,-1
0610010F05Rik,Kat2a,1
0610010O12Rik,Bmp6,1
0610010O12Rik,Cebpd,1
0610010O12Rik,Clu,-1
0610010O12Rik,Dlx2,1
0610010O12Rik,Foxp1,1
0610010O12Rik,Hoxd9,1
0610010O12Rik,Ldlrad3,1
0610010O12Rik,Mllt3,-1
0610010O12Rik,Nfil3,1
0610010O12Rik,Nog,1
0610010O12Rik,Pcbp3,1
0610010O12Rik,Slit3,1
0610010O12Rik,Smad6,1
0610010O12Rik,Whrn,1
0610010O12Rik,Zfp941,1
0610011F06Rik,Casz1,1
0610011F06Rik,Ctnnb1,1
0610011F06Rik,Enc1,1
0610011F06Rik,Fzd1,1
0610011F06Rik,Gpx1,-1
0610011F06Rik,Hey1,1
0610011F06Rik,Hoxd8,1
0610011F06Rik,Hr,1
0610011F06Rik,Ldlrad3,1
0610011F06Rik,Msx1,1
0610011F06Rik,Pcbd1,1
0610011F06Rik,Slit3,1
0610011F06Rik,Spg20,1
0610011F06Rik,Tmem100,1
0610011F06Rik,Zfp438,1
0610037L13Rik,Tcof1,1
0610037P05Rik,Ripply3,1
1110002B05Rik,Anxa7,1
1110002B05Rik,Klf3,1
1110002N22Rik,2810004N23Rik,1
1110002N22Rik,Cad,1
1110002N22Rik,Ddx51,1
1110002N22Rik,Eaf1,1
1110002N22Rik,Gm5478,1
1110002N22Rik,Lactb2,1
1110002N22Rik,Nop2,1
1110002N22Rik,Plaur,1
1110002N22Rik,Pus7l,1
1110002N22Rik,Rab31,1
1110002N22Rik,Taf4b,1
1110002N22Rik,Tfrc,1
1110002N22Rik,Tgm1,1
1110002N22Rik,Thop1,1
1110004F10Rik,Eif4e,1
1110004F10Rik,Lsm4,1
1110004F10Rik,Magoh,1
1110004F10Rik,Polr2d,1
1110004F10Rik,Srsf7,1
1110008F13Rik,Eif6,1
1110008F13Rik,Nras,1
1110008F13Rik,Pa2g4,1
1110008F13Rik,Psmc2,1
1110008F13Rik,Psmc5,1
1110017F19Rik,Irak2,1
1110017F19Rik,Zfp692,1
1110019D14Rik,Hnrnph1,1
1110034B05Rik,Srp9,1
1110049F12Rik,Poldip3,1
1110051M20Rik,Gpc3,1
1110051M20Rik,Nr4a1,1
1110051M20Rik,Ptpn14,1
1110054M08Rik,Casz1,1
1110054M08Rik,Ctnnb1,1
1110054M08Rik,Jag1,1
1110054O05Rik,Med7,1
1110057K04Rik,Esrp2,1
1110058L19Rik,Lims1,1
1110058L19Rik,Phgdh,1
1190002F15Rik,2810442I21Rik,1
1190002F15Rik,Aurkb,1
1190002F15Rik,Birc5,1
1190002F15Rik,Ccna2,1
1190002F15Rik,Ccnb1,1
1190002F15Rik,Cdc45,1
1190002F15Rik,Cdk1,1
1190002F15Rik,Cenpf,1
1190002F15Rik,Cenpk,1
1190002F15Rik,Chek2,1
1190002F15Rik,Ckap2,1
1190002F15Rik,Depdc1a,1
1190002F15Rik,E2f8,1
1190002F15Rik,H2afz,1
1190002F15Rik,Hmgb1,1
1190002F15Rik,Mlf1ip,1
1190002F15Rik,Pmf1,1
1190002F15Rik,Pold1,1
1190002F15Rik,Tcf19,1
1190002F15Rik,Top2a,1
1190002F15Rik,Tyms,1
1190002F15Rik,Uhrf1,1
1190002F15Rik,Ywhah,1
1190002H23Rik,1700025G04Rik,1
1190002H23Rik,2310007B03Rik,1
1190002H23Rik,4930550C14Rik,1
1190002H23Rik,5930412G12Rik,1
1190002H23Rik,Abcb1b,1
1190002H23Rik,Abcg1,1
1190002H23Rik,Acbd4,1
1190002H23Rik,Acer3,1
1190002H23Rik,Acot9,1
1190002H23Rik,Actn1,-1
1190002H23Rik,Adamts14,1
1190002H23Rik,Adamtsl4,-1
1190002H23Rik,Adrb2,1
1190002H23Rik,Ahr,1
1190002H23Rik,Als2cl,1
1190002H23Rik,Angptl2,-1
1190002H23Rik,Aplp2,-1
1190002H23Rik,App,-1
1190002H23Rik,Aqp3,-1
1190002H23Rik,Arc,1
1190002H23Rik,Arhgdib,1
1190002H23Rik,Arpc2,1
1190002H23Rik,Asap1,1
1190002H23Rik,Ascl2,1
1190002H23Rik,Atp1b1,1
1190002H23Rik,Atpif1,1
1190002H23Rik,B2m,1
1190002H23Rik,Bcl10,1
1190002H23Rik,Bmp4,1
1190002H23Rik,Calml3,-1
1190002H23Rik,Casp4,1
1190002H23Rik,Cbs,1
1190002H23Rik,Ccdc122,1
1190002H23Rik,Ccdc136,-1
1190002H23Rik,Ccnl1,1
1190002H23Rik,Cd34,-1
1190002H23Rik,Cd55,1
1190002H23Rik,Cd59a,1
1190002H23Rik,Cdh4,1
1190002H23Rik,Cebpd,-1
1190002H23Rik,Chl1,1
1190002H23Rik,Chst15,1
1190002H23Rik,Cish,1
1190002H23Rik,Clca1,1
1190002H23Rik,Clca2,1
1190002H23Rik,Clu,1
1190002H23Rik,Col6a1,-1
1190002H23Rik,Col8a2,-1
1190002H23Rik,Cpxm2,1
1190002H23Rik,Cux1,1
1190002H23Rik,Dab1,1
1190002H23Rik,Dapk2,-1
1190002H23Rik,Dgcr6,1
1190002H23Rik,Dlgap4,-1
1190002H23Rik,Echs1,1
1190002H23Rik,Edaradd,1
1190002H23Rik,Eps8,-1
1190002H23Rik,Exph5,1
1190002H23Rik,Fam167a,-1
1190002H23Rik,Fas,1
1190002H23Rik,Figf,1
1190002H23Rik,Filip1l,-1
1190002H23Rik,Flnb,-1
1190002H23Rik,Foxc1,-1
1190002H23Rik,Foxp1,-1
1190002H23Rik,Fzd10,1
1190002H23Rik,Gfra1,-1
1190002H23Rik,Gm10007,-1
1190002H23Rik,Gm12824,-1
1190002H23Rik,Gm15987,1
1190002H23Rik,H2-M2,1
1190002H23Rik,H2-M3,1
1190002H23Rik,H2-Q7,1
1190002H23Rik,Herpud1,1
1190002H23Rik,Higd1a,1
1190002H23Rik,Hlf,1
1190002H23Rik,Hmgn1,1
1190002H23Rik,Hnmt,1
1190002H23Rik,Hoxd8,-1
1190002H23Rik,Hpcal1,-1
1190002H23Rik,Hs3st6,1
1190002H23Rik,Id2,-1
1190002H23Rik,Id3,-1
1190002H23Rik,Ifngr1,1
1190002H23Rik,Ikzf2,1
1190002H23Rik,Il1f5,1
1190002H23Rik,Il1rn,1
1190002H23Rik,Il20ra,1
1190002H23Rik,Il22ra2,1
1190002H23Rik,Il2rg,1
1190002H23Rik,Il33,1
1190002H23Rik,Il6ra,1
1190002H23Rik,Ipmk,1
1190002H23Rik,Kidins220,-1
1190002H23Rik,Klf5,1
1190002H23Rik,Klk11,1
1190002H23Rik,Krt2,1
1190002H23Rik,Lama1,1
1190002H23Rik,Lass6,1
1190002H23Rik,Lhx2,-1
1190002H23Rik,Limd1,1
1190002H23Rik,Lrp4,1
1190002H23Rik,Lrrfip1,-1
1190002H23Rik,Ly6a,1
1190002H23Rik,Ly6d,1
1190002H23Rik,Macf1,-1
1190002H23Rik,Man1c1,1
1190002H23Rik,Mgst3,1
1190002H23Rik,Mob3b,1
1190002H23Rik,Mst1,1
1190002H23Rik,Naaa,1
1190002H23Rik,Ndufa4l2,1
1190002H23Rik,Nfil3,-1
1190002H23Rik,Nlrc5,1
1190002H23Rik,Oas1f,1
1190002H23Rik,Oat,1
1190002H23Rik,Oxct1,1
1190002H23Rik,Pard6b,1
1190002H23Rik,Parp10,1
1190002H23Rik,Pdzrn3,-1
1190002H23Rik,Pfn2,-1
1190002H23Rik,Pi15,-1
1190002H23Rik,Plbd1,1
1190002H23Rik,Plcxd2,1
1190002H23Rik,Pmel,1
1190002H23Rik,Postn,-1
1190002H23Rik,Ppara,1
1190002H23Rik,Ppp2r2c,1
1190002H23Rik,Psmb8,1
1190002H23Rik,Psmb9,1
1190002H23Rik,Ptger4,1
1190002H23Rik,Ptpn14,1
1190002H23Rik,Ptprk,-1
1190002H23Rik,Rab27a,1
1190002H23Rik,Rasa3,1
1190002H23Rik,Rasgrp1,1
1190002H23Rik,Rel,1
1190002H23Rik,Rnf152,-1
1190002H23Rik,Robo1,1
1190002H23Rik,Rspo3,1
1190002H23Rik,Sat1,1
1190002H23Rik,Satb1,1
1190002H23Rik,Scin,1
1190002H23Rik,Scx,-1
1190002H23Rik,Sema3d,1
1190002H23Rik,Serpina3h,1
1190002H23Rik,Serpina3i,1
1190002H23Rik,Serpinb2,1
1190002H23Rik,Serpinb7,1
1190002H23Rik,Setbp1,-1
1190002H23Rik,Sh3rf2,1
1190002H23Rik,Slc16a10,1
1190002H23Rik,Slc22a4,1
1190002H23Rik,Slc24a3,1
1190002H23Rik,Slitrk6,1
1190002H23Rik,Sox6,1
1190002H23Rik,Sox9,-1
1190002H23Rik,Ssbp2,1
1190002H23Rik,Syne1,1
1190002H23Rik,Tacc2,-1
1190002H23Rik,Tacstd2,1
1190002H23Rik,Tbx1,-1
1190002H23Rik,Tfap2c,1
1190002H23Rik,Tgfbr3,1
1190002H23Rik,Tgm5,-1
1190002H23Rik,Thsd1,-1
1190002H23Rik,Timp2,-1
1190002H23Rik,Tnfaip3,1
1190002H23Rik,Tnfaip8,1
1190002H23Rik,Tnfrsf19,1
1190002H23Rik,Tnxb,1
1190002H23Rik,Tppp3,1
1190002H23Rik,Traf5,1
1190002H23Rik,Trim16,1
1190002H23Rik,Trps1,-1
1190002H23Rik,Tsc22d1,1
1190002H23Rik,Usp54,-1
1190002H23Rik,Wdr65,1
1190002H23Rik,Wee1,1
1190002H23Rik,Wipf3,1
1190002H23Rik,Wnt16,1
1190002H23Rik,Wnt3,1
1190002H23Rik,Wnt5a,1
1190002H23Rik,Zmiz1,-1
1190003J15Rik,Bcl3,1
1190003J15Rik,Gnl3,1
1190005I06Rik,Maged1,1
1190005I06Rik,Pawr,1
1200011M11Rik,Ankrd9,1
1200011M11Rik,Cpne1,1
1200011M11Rik,Stat1,1
1300001I01Rik,Birc3,1
1300001I01Rik,Celf4,1
1300001I01Rik,E2f4,1
1300001I01Rik,Gnl3,1
1300001I01Rik,Jarid2,1
1300001I01Rik,Larp1,1
1300001I01Rik,Lpar5,1
1300001I01Rik,Pabpc1,1
1300001I01Rik,Ptcd2,1
1300001I01Rik,Trim62,1
1300014I06Rik,Maged1,1
1500001M20Rik,Actl6a,1
1500001M20Rik,Eif4e,1
