EndNodes_1,EndNodes_2,Weight
0610007P14Rik,Utp15,1
0610009B22Rik,Cdk1,1
0610009B22Rik,Rnf168,1
0610010K14Rik,Ccar1,1
0610010K14Rik,Hnrnpc,1
0610010K14Rik,Nono,1
0610010K14Rik,Puf60,1
0610010K14Rik,Rpn2,1
0610010K14Rik,Srsf6,1
0610010O12Rik,Gtf2f1,1
0610010O12Rik,Rbm3,1
0610037L13Rik,Hmgn2,1
1110001J03Rik,Fkbp8,1
1110001J03Rik,Glmn,1
1110001J03Rik,Med31,1
1110001J03Rik,Narg2,1
1110001J03Rik,Prpf19,1
1110002N22Rik,2410075B13Rik,1
1110002N22Rik,Acbd6,1
1110002N22Rik,Carkd,1
1110002N22Rik,Eif2a,1
1110002N22Rik,Mettl15,1
1110002N22Rik,Noa1,1
1110002N22Rik,Nudt6,1
1110002N22Rik,Rad50,1
1110003E01Rik,Cd74,1
1110003E01Rik,Mef2c,1
1110003E01Rik,Prkcb,1
1110003E01Rik,Ptp4a3,1
1110003E01Rik,Sdc4,1
1110003E01Rik,Serp1,1
1110004E09Rik,Aatf,1
1110004E09Rik,Akap8,1
1110004E09Rik,Cdk6,1
1110004E09Rik,Chaf1b,1
1110004E09Rik,Ddx1,1
1110004E09Rik,Etf1,1
1110004E09Rik,Gemin5,1
1110004E09Rik,Gtf2f2,1
1110004E09Rik,Hdgf,1
1110004E09Rik,Hnrnpu,1
1110004E09Rik,Larp7,1
1110004E09Rik,Lsm2,1
1110004E09Rik,Med8,1
1110004E09Rik,Mta2,1
1110004E09Rik,Prpf19,1
1110004E09Rik,Rbm25,1
1110004E09Rik,Sap18,1
1110004E09Rik,Shmt1,1
1110004E09Rik,Srsf1,1
1110004E09Rik,Taf1a,1
1110004E09Rik,Tardbp,1
1110004E09Rik,Tcerg1,1
1110004E09Rik,Traf3ip1,1
1110004F10Rik,Dpy30,1
1110007C09Rik,Arnt,1
1110007C09Rik,Fosl2,1
1110007C09Rik,Mxd1,1
1110007C09Rik,Wdtc1,1
1110012L19Rik,Med25,1
